shrimp_ID,video_ID,Strike_Video_File_Name,film_date,acc_hr,Temperature,Pixels_per_mm,use_SPL,max_SPL,body_mass_g,DactylLength_mm,strike_end_f,first_collapse_f,second_collapse_frame,use_distance,bubble_dist_mm,max_bubble_f,max_b_length_px,max_b_width_px,Notes,use_bubble,max_b_length_mm,max_b_width_mm,max_size_mm2,growth_ms,collapse_ms,rebound_ms,col_rate_mm2pms
Pistol42,Pistol42_strike1,Pistol42_041122_C33_strike1_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,214.5020162,1.03,5.775285279,127,150,163,Y,9.852843444,140,182.067,79.239,,1,7.081909442,3.082180858,21.82772572,0.22,0.17,0.22,128.3983866
Pistol42,Pistol42_strike2,Pistol42_041122_C33_strike2_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,208.6359939,1.03,5.775285279,148,170,183,Y,10.31062443,160,194.527,79.233,,1,7.566569439,3.081947475,23.31976957,0.2,0.17,0.22,137.1751151
Pistol42,Pistol42_strike3,Pistol42_041122_C33_strike3_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,212.3924154,1.03,5.775285279,152,176,190,N,NA,166,207.68,91.343,,1,8.078185245,3.552993427,28.70173907,0.23,0.17,0.23,168.8337592
Pistol42,Pistol42_strike4,Pistol42_041122_C33_strike4_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,208.8635516,1.03,5.775285279,105,129,142,Y,10.88086334,117,199.832,84.481,,1,7.772919462,3.286080353,25.54243793,0.2,0.2,0.22,127.7121897
Pistol42,Pistol42_strike5,Pistol42_041122_C33_strike5_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,208.6707812,1.03,5.775285279,128,148,161,Y,10.29265463,NA,NA,NA,hit stick,0,NA,NA,NA,NA,NA,0.22,NA
Pistol42,Pistol42_strike6,Pistol42_041122_C33_strike6_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,211.0918971,1.03,5.775285279,92,114,128,N,NA,107,196.863,78.854,,1,7.657433464,3.067205409,23.48692134,0.25,0.12,0.23,195.7243445
Pistol42,Pistol42_strike7,Pistol42_041122_C33_strike7_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,211.5374265,1.03,5.775285279,117,138,152,M,NA,130,189.147,80.957,,1,7.357302121,3.14900637,23.16819124,0.22,0.13,0.23,178.2168557
Pistol42,Pistol42_strike8,Pistol42_041122_C33_strike8_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,207.1723861,1.03,5.775285279,151,172,184,Y,10.95919636,164,184.3,65.304,,1,7.168767049,2.540147387,18.20972488,0.22,0.13,0.2,140.0748068
Pistol42,Pistol42_strike9,Pistol42_041122_C33_strike9_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,204.1927101,1.03,5.775285279,164,183,197,N,NA,177,160.288,74.887,,1,6.234765777,2.912899935,18.16124882,0.22,0.1,0.23,181.6124882
Pistol42,Pistol42_strike10,Pistol42_041122_C33_strike10_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,200.2119714,1.03,5.775285279,179,192,203,Y,10.91647233,185,156.501,63.243,,1,6.087461811,2.459980111,14.97503498,0.1,0.12,0.18,124.7919582
Pistol24,Pistol24_strike1,Pistol24_041122_C33_strike1_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,0,NA,0.54,4.948134811,135,147,158,N,NA,142,86.88,50.923,,1,3.379394906,1.980765732,6.693789625,0.12,0.08,0.18,83.67237031
Pistol24,Pistol24_strike2,Pistol24_041122_C33_strike2_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,195.2106968,0.54,4.948134811,128,133,141,Y,6.97039838,130,58.457,36.541,,1,2.273817772,1.42134518,3.231879931,0.03,0.05,0.13,64.63759862
Pistol24,Pistol24_strike3,Pistol24_041122_C33_strike3_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,0,NA,0.54,4.948134811,103,NA,NA,N,NA,111,NA,NA,out of frame,0,NA,NA,NA,0.13,NA,NA,NA
Pistol24,Pistol24_strike4,Pistol24_041122_C33_strike4_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,0,NA,0.54,4.948134811,114,NA,NA,N,NA,NA,NA,NA,out of frame,0,NA,NA,NA,NA,NA,NA,NA
Pistol24,Pistol24_strike5,Pistol24_041122_C33_strike5_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,195.3841369,0.54,4.948134811,98,109,118,N,NA,102,82.105,57.616,,1,3.193660437,2.241105167,7.157328907,0.07,0.12,0.15,59.64440756
Pistol24,Pistol24_strike6,Pistol24_041122_C33_strike6_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,204.6284237,0.54,4.948134811,111,126,136,Y,8.594394811,119,109.495,52.489,,1,4.25905669,2.041678858,8.695626001,0.13,0.12,0.17,72.46355001
Pistol34,Pistol34_strike1,Pistol34_041122_C33_strike1_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,204.1635927,0.56,4.434231157,107,125,135,N,NA,117,162.457,55.602,,1,6.319133958,2.162766063,13.66680847,0.17,0.13,0.17,105.1292959
Pistol34,Pistol34_strike2,Pistol34_041122_C33_strike2_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,25.70874444,1,207.5019768,0.56,4.434231157,104,122,132,N,NA,115,164.066,62.774,,1,6.381719667,2.441737291,15.58248289,0.18,0.12,0.17,129.8540241
Pistol34,Pistol34_strike3,Pistol34_041122_C34_strike3_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,26.14966667,1,204.1218376,0.56,4.434231157,110,126,135,Y,8.508128078,120,168.906,51.632,,1,6.459202793,1.974480235,12.75356825,0.17,0.1,0.15,127.5356825
Pistol34,Pistol34_strike4,Pistol34_041122_C34_strike4_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,26.14966667,1,214.7300905,0.56,4.434231157,113,131,141,N,NA,123,182.034,76.02,,1,6.961235961,2.907111626,20.23709,0.17,0.13,0.17,155.6699231
Pistol34,Pistol34_strike5,Pistol34_041122_C34_strike5_60kfps_33C_D1_C001H001S0001.avi,41122,24,33,26.14966667,1,205.0913682,0.56,4.434231157,128,145,154,M,NA,137,162.577,54.796,,1,6.21717294,2.095476041,13.02793694,0.15,0.13,0.15,100.2148995
