shrimp_ID,video_ID,acc_hr,Temperature,use_SPL,max_SPL,body_mass_g,DactylLength_mm,use_distance,bubble_dist_mm,use_bubble,max_size_mm2,growth_ms,collapse_ms,rebound_ms,col_rate_mm2pms
Pistol04,Pistol04_strike1,72,20,1,208.6558872,1.78,8.086375555,Y,16.24767313,1,58.76505708,0.25,0.32,0.38,183.6408034
Pistol04,Pistol04_strike2,72,20,1,210.0411723,1.78,8.086375555,Y,16.17501047,1,56.13682199,0.27,0.3,0.35,187.12274
Pistol04,Pistol04_strike3,72,20,1,208.9729523,1.78,8.086375555,Y,15.96829292,1,55.16191994,0.27,0.27,0.35,204.3034072
Pistol04,Pistol04_strike5,72,20,1,213.6366093,1.78,8.086375555,Y,16.32515006,1,45.47972551,0.22,0.27,0.35,168.4434278
Pistol04,Pistol04_strike6,72,20,0,NA,1.78,8.086375555,N,NA,0,NA,NA,NA,NA,NA
Pistol04,Pistol04_strike7,72,20,0,NA,1.78,8.086375555,N,NA,0,NA,NA,NA,NA,NA
Pistol04,Pistol04_strike8,72,20,1,214.9903078,1.78,8.086375555,Y,15.71058113,1,53.87757844,0.27,0.23,0.35,234.250341
Pistol04,Pistol04_strike9,72,20,1,215.4937145,1.78,8.086375555,M,NA,1,60.74552225,0.28,0.23,0.38,264.1109663
Pistol04,Pistol04_strike10,72,20,1,210.2524823,1.75,8.086375555,N,NA,0,NA,NA,NA,0.33,NA
Pistol06,Pistol06_strike1,72,20,1,212.8793448,1.86,7.155461097,M,NA,1,41.21728009,0.22,0.23,0.32,179.2055656
Pistol06,Pistol06_strike2,72,20,0,NA,1.86,7.155461097,N,NA,0,NA,NA,NA,NA,NA
Pistol06,Pistol06_strike3,72,20,1,204.1594288,1.86,7.155461097,N,NA,0,NA,NA,NA,0.33,NA
Pistol06,Pistol06_strike4,72,20,1,197.4849518,1.86,7.155461097,Y,13.15227613,1,17.26354241,0.2,0.12,0.23,143.8628534
Pistol06,Pistol06_strike5,72,20,1,209.5645223,1.86,7.155461097,Y,NA,1,36.40913117,0.2,0.18,0.3,202.2729509
Pistol06,Pistol06_strike6,72,20,1,199.4046123,1.86,7.155461097,Y,NA,0,NA,NA,NA,0.25,NA
Pistol06,Pistol06_strike7,72,20,1,209.4201399,1.86,7.155461097,Y,13.6041401,1,41.1137638,0.27,0.22,0.3,186.8807445
Pistol06,Pistol06_strike8,72,20,1,177.8086353,1.86,7.155461097,M,NA,0,NA,NA,NA,0.3,NA
Pistol06,Pistol06_strike9,72,20,1,172.6367748,1.86,7.155461097,N,NA,0,NA,NA,NA,0.25,NA
Pistol06,Pistol06_strike10,72,20,1,176.0905863,1.86,7.155461097,Y,14.00979912,1,37.99378226,0.18,0.27,0.28,140.7177121
Pistol08,Pistol08_strike1,72,20,1,202.79454,0.31,4.511518821,N,NA,0,NA,NA,NA,0.13,NA
Pistol08,Pistol08_strike2,72,20,0,NA,0.31,4.511518821,N,NA,0,NA,NA,NA,NA,NA
Pistol08,Pistol08_strike3,72,20,1,200.9300534,0.31,4.511518821,Y,8.628302442,1,18.97863764,0.13,0.17,0.18,111.6390449
Pistol08,Pistol08_strike4,72,20,1,182.4782886,0.31,4.511518821,Y,6.740189261,0,NA,NA,NA,0.1,NA
Pistol08,Pistol08_strike5,72,20,1,198.9717385,0.31,4.511518821,N,NA,1,19.72181142,0.13,0.17,0.17,116.0106554
Pistol08,Pistol08_strike6,72,20,1,197.4435458,0.31,4.511518821,N,NA,0,NA,NA,0.15,0.17,NA
Pistol08,Pistol08_strike7,72,20,1,200.7158274,0.31,4.511518821,Y,8.556874644,1,19.07115619,0.17,0.17,0.17,112.1832717
Pistol08,Pistol08_strike8,72,20,1,200.4131807,0.31,4.511518821,N,NA,1,18.532049,0.12,0.2,0.17,92.660245
