"video_ID","X","audiofiles.j.","max_voltage_v","max_voltage_mv","max_SPL","RMS_SPL","shrimp_ID","collection_date","film_date","Strike_Video_File_Name","FrameStart","FrameEnd","Strike_duration_frames","Strike_Duration_Seconds","first_collapse_frame","second_collapse_frame","use_distance","bubble_formation","Temperature","acc_hr","Treatment","FrameRate","Calibration.ID","Pixels_per_mm","DactylLength_px","DactylLength_mm","BodyLength_mm","BodyLength_m","Hand","Cavitation","claw_length_mm","claw_length_m","sex","body_mass_g","max_bubble_f","max_b_length_px","max_b_width_px","max_b_length_mm","max_b_width_mm","max_size_mm2","abs_maxB","abs_c1","abs_c2","collapse_ms","rebound_ms","col_rate_mm2pms","use_bubble","use_SPL","growth_ms"
"",NA,NA,NA,NA,NA,NA,"Pistol210",61522,61722,"",NA,NA,0,0,NA,NA,"N",0,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Pistol204_strike1",17,"Pistol204_strike1_audio_r.csv",4.823667,4823.667,221.2856798,194.5252956,"Pistol204",61522,61722,"Pistol204_061722_C1_strike1_160kfps__33C_3h_C001H001S0001.avi",49,101,52,0.000866667,129,143,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,NA,NA,NA,NA,NA,NA,NA,28,42,NA,0.233333333,NA,0,1,NA
"Pistol204_strike10",18,"Pistol204_strike10_audio_r.csv",1.283855,1283.855,209.7884529,191.2347197,"Pistol204",61522,61722,"Pistol204_061722_C1_strike10_60kfps_33C_3h_C001H001S0001.avi",120,177,57,0.00095,200,213,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,190,210.765,82.882,8.181458234,3.21730658,26.32225941,13,23,36,0.166666667,0.216666667,157.9335565,1,1,0.216666666666667
"Pistol204_strike2",19,"Pistol204_strike2_audio_r.csv",3.264886,3264.886,217.8954938,193.764986,"Pistol204",61522,61722,"Pistol204_061722_C1_strike2_160kfps_33C_3h_C001H001S0001.avi",9,65,56,0.000933333,90,103,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,79,238.876,90.408,9.272668693,3.509450222,32.5419692,14,25,38,0.183333333,0.216666667,177.5016502,1,1,0.233333333333333
"Pistol204_strike3",20,"Pistol204_strike3_audio_r.csv",2.931653,2931.653,216.9603847,195.4809956,"Pistol204",61522,61722,"Pistol204_061722_C1_strike3_60kfps_33C_3h_C001H001S0001.avi",86,139,53,0.000883333,167,180,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,153,216.63,97.114,8.409125316,3.769763172,31.70041092,14,28,41,0.233333333,0.216666667,135.858904,1,1,0.233333333333333
"Pistol204_strike4",21,"Pistol204_strike4_audio_r.csv",2.841416,2841.416,216.6888298,196.5625449,"Pistol204",61522,61722,"Pistol204_061722_C1_strike4_60kfps_33C_3h_C001H001S0001.avi",73,121,48,8e-04,144,156,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,133,227.38,87.309,8.826417921,3.389153498,29.91408517,12,23,35,0.183333333,0.2,163.1677373,1,1,0.2
"Pistol204_strike5",22,"Pistol204_strike5_audio_r.csv",1.869753,1869.753,213.0538182,193.8403858,"Pistol204",61522,61722,"Pistol204_061722_C1_strike5_60kfps_33C_3h_C001H001S0001.avi",96,142,46,0.000766667,169,182,"Y",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,154,207,101.669,8.035308777,3.946578783,31.71197913,12,27,40,0.25,0.216666667,126.8479165,1,1,0.2
"Pistol204_strike6",23,"Pistol204_strike6_audio_r.csv",2.406665,2406.665,215.2464462,192.0573128,"Pistol204",61522,61722,"Pistol204_061722_C1_strike6_60kfps_33C_3h_C001H001S0001.avi",151,193,42,7e-04,218,231,"Y",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,205,227.583,91.667,8.834297959,3.558321979,31.4352766,12,25,38,0.216666667,0.216666667,145.085892,1,1,0.2
"Pistol204_strike7",24,"Pistol204_strike7_audio_r.csv",2.365736,2365.736,215.097459,190.734568,"Pistol204",61522,61722,"Pistol204_061722_C1_strike7_60kfps_33C_3h_C001H001S0001.avi",51,93,42,7e-04,116,130,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,103,209.46,94.272,8.130800852,3.659442652,29.75419944,10,23,37,0.216666667,0.233333333,137.3270743,1,1,0.166666666666667
"Pistol204_strike8",NA,NA,NA,NA,NA,NA,"Pistol204",61522,61722,"Pistol204_061722_C1_strike8_60kfps_33C_3h_C001H001S0001.avi",88,135,47,0.000783333,NA,NA,"N",0,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
